cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,25.0,0.7901,1.4
2,3,2,25.08,0.7866,1.4
2,4,1,25.03,0.7908,1.4
2,4,2,25.11,0.7873,1.4
2,4,3,25.07,0.7821,1.4
2,5,1,25.03,0.7908,1.4
2,5,2,25.11,0.7873,1.4
2,5,3,25.07,0.7821,1.4
3,3,1,24.88,0.786,1.4
3,3,2,24.95,0.7824,1.4
3,4,1,24.93,0.7875,1.4
3,4,2,25.01,0.7839,1.4
3,4,3,24.94,0.7759,1.4
3,5,1,24.97,0.788,1.4
3,5,2,25.04,0.7844,1.4
3,5,3,24.97,0.7764,1.4
4,3,1,24.75,0.7838,1.4
4,3,2,24.83,0.7802,1.4
4,4,1,24.82,0.7855,1.4
4,4,2,24.89,0.7819,1.4
4,4,3,24.82,0.7739,1.4
4,5,1,24.89,0.7867,1.4
4,5,2,24.96,0.7831,1.4
4,5,3,24.89,0.7752,1.4
