cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,24.33,0.8482,1.4
2,3,2,24.4,0.8454,1.4
2,4,1,24.37,0.849,1.4
2,4,2,24.43,0.8462,1.4
2,4,3,24.38,0.8417,1.4
2,5,1,24.37,0.849,1.4
2,5,2,24.43,0.8462,1.4
2,5,3,24.38,0.8417,1.4
3,3,1,24.22,0.8458,1.4
3,3,2,24.29,0.8429,1.4
3,4,1,24.29,0.8472,1.4
3,4,2,24.36,0.8444,1.4
3,4,3,24.28,0.838,1.4
3,5,1,24.33,0.8478,1.4
3,5,2,24.4,0.845,1.4
3,5,3,24.32,0.8386,1.4
4,3,1,24.25,0.8454,1.4
4,3,2,24.32,0.8426,1.4
4,4,1,24.33,0.847,1.4
4,4,2,24.4,0.8442,1.4
4,4,3,24.32,0.8378,1.4
4,5,1,24.41,0.8483,1.4
4,5,2,24.48,0.8454,1.4
4,5,3,24.4,0.839,1.4
