cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,24.27,0.8469,1.4
2,3,2,24.34,0.8441,1.4
2,4,1,24.32,0.8481,1.4
2,4,2,24.39,0.8453,1.4
2,4,3,24.34,0.8408,1.4
2,5,1,24.35,0.8488,1.4
2,5,2,24.42,0.846,1.4
2,5,3,24.37,0.8415,1.4
2,6,1,24.37,0.849,1.4
2,6,2,24.43,0.8462,1.4
2,6,3,24.38,0.8417,1.4
2,7,1,24.37,0.849,1.4
2,7,2,24.43,0.8462,1.4
2,7,3,24.38,0.8417,1.4
3,3,1,24.16,0.8443,1.4
3,3,2,24.22,0.8414,1.4
3,4,1,24.22,0.8457,1.4
3,4,2,24.28,0.8428,1.4
3,4,3,24.21,0.8365,1.4
3,5,1,24.27,0.8469,1.4
3,5,2,24.33,0.844,1.4
3,5,3,24.26,0.8376,1.4
3,6,1,24.31,0.8476,1.4
3,6,2,24.38,0.8447,1.4
3,6,3,24.3,0.8383,1.4
3,7,1,24.33,0.8478,1.4
3,7,2,24.4,0.845,1.4
3,7,3,24.32,0.8386,1.4
4,3,1,24.19,0.8439,1.4
4,3,2,24.25,0.8411,1.4
4,4,1,24.25,0.8453,1.4
4,4,2,24.31,0.8425,1.4
4,4,3,24.23,0.8362,1.4
4,5,1,24.3,0.8467,1.4
4,5,2,24.37,0.8438,1.4
4,5,3,24.29,0.8374,1.4
4,6,1,24.37,0.8477,1.4
4,6,2,24.43,0.8449,1.4
4,6,3,24.35,0.8385,1.4
4,7,1,24.42,0.8483,1.4
4,7,2,24.48,0.8455,1.4
4,7,3,24.4,0.8391,1.4
