cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,34.07,0.9547,1.4
2,3,2,33.88,0.9511,1.4
2,4,1,34.23,0.9553,1.4
2,4,2,34.05,0.9517,1.4
2,4,3,33.7,0.9476,1.4
2,5,1,34.23,0.9553,1.4
2,5,2,34.05,0.9517,1.4
2,5,3,33.7,0.9476,1.4
3,3,1,33.69,0.9531,1.4
3,3,2,33.51,0.9495,1.4
3,4,1,34.0,0.9543,1.4
3,4,2,33.82,0.9507,1.4
3,4,3,33.39,0.9453,1.4
3,5,1,34.25,0.9548,1.4
3,5,2,34.07,0.9512,1.4
3,5,3,33.62,0.9458,1.4
4,3,1,33.26,0.952,1.4
4,3,2,33.08,0.9484,1.4
4,4,1,33.56,0.9533,1.4
4,4,2,33.38,0.9497,1.4
4,4,3,32.96,0.9442,1.4
4,5,1,34.02,0.9543,1.4
4,5,2,33.83,0.9507,1.4
4,5,3,33.39,0.9453,1.4
