cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,33.92,0.9178,1.4
2,3,2,33.84,0.9165,1.4
2,4,1,34.02,0.9184,1.4
2,4,2,33.94,0.9171,1.4
2,4,3,33.71,0.9139,1.4
2,5,1,34.02,0.9184,1.4
2,5,2,33.94,0.9171,1.4
2,5,3,33.71,0.9139,1.4
3,3,1,33.73,0.9167,1.4
3,3,2,33.65,0.9154,1.4
3,4,1,33.91,0.9179,1.4
3,4,2,33.83,0.9167,1.4
3,4,3,33.53,0.9123,1.4
3,5,1,34.02,0.9185,1.4
3,5,2,33.94,0.9172,1.4
3,5,3,33.64,0.9128,1.4
4,3,1,33.62,0.9163,1.4
4,3,2,33.54,0.915,1.4
4,4,1,33.81,0.9177,1.4
4,4,2,33.73,0.9164,1.4
4,4,3,33.44,0.9121,1.4
4,5,1,34.04,0.9188,1.4
4,5,2,33.96,0.9175,1.4
4,5,3,33.65,0.9131,1.4
