cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,33.82,0.9167,1.4
2,3,2,33.74,0.9154,1.4
2,4,1,33.91,0.9177,1.4
2,4,2,33.83,0.9164,1.4
2,4,3,33.61,0.9132,1.4
2,5,1,33.98,0.9182,1.4
2,5,2,33.9,0.917,1.4
2,5,3,33.67,0.9137,1.4
2,6,1,34.02,0.9184,1.4
2,6,2,33.94,0.9171,1.4
2,6,3,33.71,0.9139,1.4
2,7,1,34.02,0.9184,1.4
2,7,2,33.94,0.9171,1.4
2,7,3,33.71,0.9139,1.4
3,3,1,33.62,0.9154,1.4
3,3,2,33.54,0.9141,1.4
3,4,1,33.72,0.9166,1.4
3,4,2,33.64,0.9153,1.4
3,4,3,33.36,0.911,1.4
3,5,1,33.86,0.9176,1.4
3,5,2,33.78,0.9163,1.4
3,5,3,33.48,0.912,1.4
3,6,1,33.96,0.9182,1.4
3,6,2,33.88,0.917,1.4
3,6,3,33.58,0.9126,1.4
3,7,1,34.02,0.9185,1.4
3,7,2,33.94,0.9172,1.4
3,7,3,33.64,0.9128,1.4
4,3,1,33.51,0.9151,1.4
4,3,2,33.44,0.9138,1.4
4,4,1,33.62,0.9163,1.4
4,4,2,33.54,0.915,1.4
4,4,3,33.25,0.9106,1.4
4,5,1,33.76,0.9174,1.4
4,5,2,33.68,0.9161,1.4
4,5,3,33.39,0.9118,1.4
4,6,1,33.93,0.9183,1.4
4,6,2,33.85,0.917,1.4
4,6,3,33.55,0.9127,1.4
4,7,1,34.07,0.9189,1.4
4,7,2,33.99,0.9176,1.4
4,7,3,33.68,0.9132,1.4
