cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,32.55,0.8926,1.4
2,3,2,32.57,0.8933,1.4
2,4,1,32.63,0.8933,1.4
2,4,2,32.65,0.8941,1.4
2,4,3,32.51,0.8914,1.4
2,5,1,32.63,0.8933,1.4
2,5,2,32.65,0.8941,1.4
2,5,3,32.51,0.8914,1.4
3,3,1,32.41,0.8952,1.4
3,3,2,32.43,0.8959,1.4
3,4,1,32.55,0.8969,1.4
3,4,2,32.57,0.8976,1.4
3,4,3,32.39,0.8947,1.4
3,5,1,32.68,0.8976,1.4
3,5,2,32.71,0.8984,1.4
3,5,3,32.52,0.8955,1.4
4,3,1,32.07,0.8967,1.4
4,3,2,32.09,0.8975,1.4
4,4,1,32.21,0.8987,1.4
4,4,2,32.23,0.8995,1.4
4,4,3,32.05,0.8965,1.4
4,5,1,32.39,0.9002,1.4
4,5,2,32.42,0.901,1.4
4,5,3,32.24,0.8981,1.4
