cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,24.96,0.7887,1.4
2,3,2,25.03,0.7852,1.4
2,4,1,25.0,0.79,1.4
2,4,2,25.07,0.7865,1.4
2,4,3,25.03,0.7813,1.4
2,5,1,25.02,0.7906,1.4
2,5,2,25.1,0.7871,1.4
2,5,3,25.06,0.7819,1.4
2,6,1,25.03,0.7908,1.4
2,6,2,25.11,0.7873,1.4
2,6,3,25.07,0.7821,1.4
2,7,1,25.03,0.7908,1.4
2,7,2,25.11,0.7873,1.4
2,7,3,25.07,0.7821,1.4
3,3,1,24.82,0.7843,1.4
3,3,2,24.89,0.7807,1.4
3,4,1,24.87,0.7859,1.4
3,4,2,24.94,0.7823,1.4
3,4,3,24.88,0.7744,1.4
3,5,1,24.92,0.7871,1.4
3,5,2,24.99,0.7835,1.4
3,5,3,24.92,0.7756,1.4
3,6,1,24.96,0.7878,1.4
3,6,2,25.03,0.7842,1.4
3,6,3,24.96,0.7763,1.4
3,7,1,24.97,0.788,1.4
3,7,2,25.04,0.7844,1.4
3,7,3,24.97,0.7764,1.4
4,3,1,24.7,0.7821,1.4
4,3,2,24.77,0.7785,1.4
4,4,1,24.75,0.7837,1.4
4,4,2,24.82,0.7801,1.4
4,4,3,24.76,0.7722,1.4
4,5,1,24.8,0.7851,1.4
4,5,2,24.88,0.7815,1.4
4,5,3,24.81,0.7735,1.4
4,6,1,24.86,0.7863,1.4
4,6,2,24.93,0.7827,1.4
4,6,3,24.86,0.7747,1.4
4,7,1,24.89,0.7868,1.4
4,7,2,24.96,0.7832,1.4
4,7,3,24.9,0.7752,1.4
