cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,33.9,0.9537,1.4
2,3,2,33.72,0.9501,1.4
2,4,1,34.05,0.9547,1.4
2,4,2,33.87,0.9511,1.4
2,4,3,33.54,0.9469,1.4
2,5,1,34.17,0.9551,1.4
2,5,2,33.99,0.9515,1.4
2,5,3,33.64,0.9474,1.4
2,6,1,34.23,0.9553,1.4
2,6,2,34.05,0.9517,1.4
2,6,3,33.7,0.9476,1.4
2,7,1,34.23,0.9553,1.4
2,7,2,34.05,0.9517,1.4
2,7,3,33.7,0.9476,1.4
3,3,1,33.52,0.952,1.4
3,3,2,33.35,0.9484,1.4
3,4,1,33.68,0.9531,1.4
3,4,2,33.5,0.9495,1.4
3,4,3,33.1,0.9441,1.4
3,5,1,33.91,0.954,1.4
3,5,2,33.73,0.9504,1.4
3,5,3,33.3,0.945,1.4
3,6,1,34.11,0.9546,1.4
3,6,2,33.93,0.951,1.4
3,6,3,33.49,0.9456,1.4
3,7,1,34.25,0.9548,1.4
3,7,2,34.07,0.9512,1.4
3,7,3,33.62,0.9458,1.4
4,3,1,33.1,0.9509,1.4
4,3,2,32.93,0.9473,1.4
4,4,1,33.25,0.9519,1.4
4,4,2,33.08,0.9483,1.4
4,4,3,32.69,0.9429,1.4
4,5,1,33.48,0.953,1.4
4,5,2,33.3,0.9494,1.4
4,5,3,32.88,0.944,1.4
4,6,1,33.75,0.9539,1.4
4,6,2,33.57,0.9503,1.4
4,6,3,33.14,0.9448,1.4
4,7,1,34.08,0.9544,1.4
4,7,2,33.89,0.9508,1.4
4,7,3,33.45,0.9454,1.4
