cond1_thresh,cond2_thresh,cond3_thresh,Avg PSNR (dB),Avg SSIM,Avg Routes
2,3,1,32.47,0.8912,1.4
2,3,2,32.5,0.8919,1.4
2,4,1,32.55,0.8925,1.4
2,4,2,32.57,0.8932,1.4
2,4,3,32.43,0.8906,1.4
2,5,1,32.6,0.8931,1.4
2,5,2,32.63,0.8938,1.4
2,5,3,32.49,0.8912,1.4
2,6,1,32.63,0.8933,1.4
2,6,2,32.65,0.8941,1.4
2,6,3,32.51,0.8914,1.4
2,7,1,32.63,0.8933,1.4
2,7,2,32.65,0.8941,1.4
2,7,3,32.51,0.8914,1.4
3,3,1,32.33,0.8936,1.4
3,3,2,32.35,0.8943,1.4
3,4,1,32.4,0.8951,1.4
3,4,2,32.43,0.8959,1.4
3,4,3,32.25,0.8929,1.4
3,5,1,32.52,0.8965,1.4
3,5,2,32.54,0.8973,1.4
3,5,3,32.36,0.8943,1.4
3,6,1,32.64,0.8973,1.4
3,6,2,32.66,0.8981,1.4
3,6,3,32.48,0.8951,1.4
3,7,1,32.68,0.8976,1.4
3,7,2,32.71,0.8984,1.4
3,7,3,32.52,0.8955,1.4
4,3,1,31.99,0.8951,1.4
4,3,2,32.01,0.8959,1.4
4,4,1,32.06,0.8967,1.4
4,4,2,32.09,0.8975,1.4
4,4,3,31.91,0.8945,1.4
4,5,1,32.18,0.8983,1.4
4,5,2,32.21,0.8991,1.4
4,5,3,32.03,0.8961,1.4
4,6,1,32.33,0.8995,1.4
4,6,2,32.35,0.9003,1.4
4,6,3,32.17,0.8974,1.4
4,7,1,32.42,0.9004,1.4
4,7,2,32.44,0.9012,1.4
4,7,3,32.26,0.8982,1.4
